,index,resumo,data,autor,jornal,titulo,type,clean_sentence,tok_lem_sentence
190,273,"  Inexact Restoration methods have been introduced for solving nonlinear programming problems. Each iteration is composed of two phases. The first one reduces a measure of infeasibility, while in the second one the objective function value is reduced in a tangential approximation of the feasible set. The point obtained from the second phase is compared with the current point either by means of a merit function or by using a filter criterion. A comparative numerical study about these criteria by using a family of Hard-Spheres Problems is presented. ",2009/12,"Elizabeth W Karas, Elvio A Pilotta, Ademir A Ribeiro",Computational Optimization and Applications,Numerical comparison of merit function with filter criterion in inexact restoration algorithms using hard-spheres problems,artigo,  inexact restoration methods have been introduced for solving nonlinear programming problems  each iteration is composed of two phases  the first one reduces a measure of infeasibility  while in the second one the objective function value is reduced in a tangential approximation of the feasible set  the point obtained from the second phase is compared with the current point either by means of a merit function or by using a filter criterion  a comparative numerical study about these criteria by using a family of hard spheres problems is presented  ,"['inexact', 'restoration', 'method', 'introduced', 'solving', 'nonlinear', 'programming', 'problem', 'iteration', 'composed', 'phase', 'first', 'reduces', 'measure', 'infeasibility', 'second', 'objective', 'function', 'value', 'reduced', 'tangential', 'approximation', 'feasible', 'point', 'obtained', 'second', 'phase', 'compared', 'current', 'point', 'either', 'merit', 'function', 'using', 'filter', 'criterion', 'comparative', 'numerical', 'study', 'criterion', 'using', 'family', 'sphere', 'problem', 'presented']"
191,274,"In this work, we present an algorithm for solving constrained optimization problems that does not make explicit use of the objective function derivatives. The algorithm mixes an inexact restoration framework with filter techniques, where the forbidden regions can be given by the flat or slanting filter rule. Each iteration is decomposed into two independent phases: a feasibility phase which reduces an infeasibility measure without evaluations of the objective function, and an optimality phase which reduces the objective function value. As the derivatives of the objective function are not available, the optimality step is computed by derivative-free trust-region internal iterations. Any technique to construct the trust-region models can be used since the gradient of the model is a reasonable approximation of the gradient of the objective function at the current point. Assuming this and classical assumptions, we prove that the full …",2017/2/1,"Priscila Savulski Ferreira, Elizabeth Wegner Karas, Mael Sachine, Francisco Nogueira Calmon Sobral",Optimization,Global convergence of a derivative-free inexact restoration filter algorithm for nonlinear programming,artigo,in this work  we present an algorithm for solving constrained optimization problems that does not make explicit use of the objective function derivatives  the algorithm mixes an inexact restoration framework with filter techniques  where the forbidden regions can be given by the flat or slanting filter rule  each iteration is decomposed into two independent phases  a feasibility phase which reduces an infeasibility measure without evaluations of the objective function  and an optimality phase which reduces the objective function value  as the derivatives of the objective function are not available  the optimality step is computed by derivative free trust region internal iterations  any technique to construct the trust region models can be used since the gradient of the model is a reasonable approximation of the gradient of the objective function at the current point  assuming this and classical assumptions  we prove that the full  ,"['present', 'algorithm', 'solving', 'constrained', 'optimization', 'problem', 'explicit', 'objective', 'function', 'derivative', 'algorithm', 'inexact', 'restoration', 'framework', 'filter', 'technique', 'forbidden', 'region', 'given', 'slanting', 'filter', 'iteration', 'decomposed', 'independent', 'phase', 'feasibility', 'phase', 'reduces', 'infeasibility', 'measure', 'without', 'evaluation', 'objective', 'function', 'optimality', 'phase', 'reduces', 'objective', 'function', 'value', 'derivative', 'objective', 'function', 'available', 'optimality', 'computed', 'derivative', 'trust', 'region', 'internal', 'iteration', 'technique', 'construct', 'trust', 'region', 'model', 'since', 'gradient', 'model', 'reasonable', 'approximation', 'gradient', 'objective', 'function', 'current', 'point', 'assuming', 'classical', 'assumption', 'prove']"
193,276," This paper presents a class of Levenberg–Marquardt methods for solving the nonlinear least-squares problem. Explicit algebraic rules for computing the regularization parameter are devised. In addition, convergence properties of this class of methods are analyzed. We prove that all accumulation points of the generated sequence are stationary. Moreover, q-quadratic convergence for the zero-residual problem is obtained under an error bound condition. Illustrative numerical experiments with encouraging results are presented.",2016/12,"Elizabeth W Karas, Sandra A Santos, Benar F Svaiter",Computational Optimization and Applications,Algebraic rules for computing the regularization parameter of the Levenberg–Marquardt method,artigo, this paper presents a class of levenberg marquardt methods for solving the nonlinear least squares problem  explicit algebraic rules for computing the regularization parameter are devised  in addition  convergence properties of this class of methods are analyzed  we prove that all accumulation points of the generated sequence are stationary  moreover  q quadratic convergence for the zero residual problem is obtained under an error bound condition  illustrative numerical experiments with encouraging results are presented ,"['paper', 'present', 'class', 'levenberg', 'marquardt', 'method', 'solving', 'nonlinear', 'least', 'square', 'problem', 'explicit', 'algebraic', 'computing', 'regularization', 'parameter', 'devised', 'addition', 'convergence', 'property', 'class', 'method', 'analyzed', 'prove', 'accumulation', 'point', 'generated', 'sequence', 'stationary', 'moreover', 'quadratic', 'convergence', 'residual', 'problem', 'obtained', 'error', 'bound', 'condition', 'illustrative', 'numerical', 'experiment', 'encouraging', 'result', 'presented']"
194,277,"We introduce a modification of Fenchel's conjugation which is a particular case of Moreau's conjugation. We obtain good properties such as convexity of the conjugate function even though the function is not convex. We also introduce the concept of conjugate dual space as a class of continuous operators, while in the Fenchel conjugation the conjugate dual space is the classical topological dual space. Finally, we present some examples for illustrating the difference between the Fenchel–Moreau conjugation and our modification.",2011/8/1,"John Cotrina, Elizabeth W Karas, Ademir A Ribeiro, Wilfredo Sosa, Jin Y Yuan",Optimization,Fenchel–Moreau conjugation for lower semi-continuous functions,artigo,we introduce a modification of fenchel  conjugation which is a particular case of moreau  conjugation  we obtain good properties such as convexity of the conjugate function even though the function is not convex  we also introduce the concept of conjugate dual space as a class of continuous operators  while in the fenchel conjugation the conjugate dual space is the classical topological dual space  finally  we present some examples for illustrating the difference between the fenchel moreau conjugation and our modification ,"['introduce', 'modification', 'fenchel', 'conjugation', 'particular', 'moreau', 'conjugation', 'obtain', 'property', 'convexity', 'conjugate', 'function', 'though', 'function', 'convex', 'introduce', 'concept', 'conjugate', 'space', 'class', 'continuous', 'operator', 'fenchel', 'conjugation', 'conjugate', 'space', 'classical', 'topological', 'space', 'finally', 'present', 'example', 'illustrating', 'difference', 'fenchel', 'moreau', 'conjugation', 'modification']"
195,279," In this work we propose a class of quasi-Newton methods to minimize a twice differentiable function with Lipschitz continuous Hessian. These methods are based on the quadratic regularization of Newton’s method, with algebraic explicit rules for computing the regularizing parameter. The convergence properties of this class of methods are analysed. We show that if the sequence generated by the algorithm converges then its limit point is stationary. We also establish local quadratic convergence in a neighborhood of a stationary point with positive definite Hessian. Encouraging numerical experiments are presented.",2015/3,"Elizabeth W Karas, Sandra A Santos, Benar F Svaiter",Computational Optimization and Applications,Algebraic rules for quadratic regularization of Newton’s method,artigo, in this work we propose a class of quasi newton methods to minimize a twice differentiable function with lipschitz continuous hessian  these methods are based on the quadratic regularization of newton s method  with algebraic explicit rules for computing the regularizing parameter  the convergence properties of this class of methods are analysed  we show that if the sequence generated by the algorithm converges then its limit point is stationary  we also establish local quadratic convergence in a neighborhood of a stationary point with positive definite hessian  encouraging numerical experiments are presented ,"['propose', 'class', 'quasi', 'newton', 'method', 'minimize', 'twice', 'differentiable', 'function', 'lipschitz', 'continuous', 'hessian', 'method', 'based', 'quadratic', 'regularization', 'newton', 'method', 'algebraic', 'explicit', 'computing', 'regularizing', 'parameter', 'convergence', 'property', 'class', 'method', 'analysed', 'sequence', 'generated', 'algorithm', 'converges', 'limit', 'point', 'stationary', 'establish', 'local', 'quadratic', 'convergence', 'neighborhood', 'stationary', 'point', 'positive', 'definite', 'hessian', 'encouraging', 'numerical', 'experiment', 'presented']"
196,0," Let A and H be finite-dimensional k-algebras, with H hereditary. We say that A is piecewise hereditary of type H, if there is a triangulated equivalence between the bounded derived categories of mod(A) and mod(H). The objective of this work is to present an intrinsic method for the construction of the Auslander-Reiten quiver of the derived category of some classes of piecewise hereditary algebras. We will present a method for the piecewise hereditary algebras of type Dynkin, in which a section will be constructed in the Auslander-Reiten quiver of the derived category, using only objects of the category of modules. Through another approach, we will present results in relation to the tame algebras, with radical squared zero. We will show a method for creating sections in the transjective component of the Auslander-Reiten quiver of the derived category. 

",2022, Wesley dos Santos Villela Batista,Tese Digital,Secções no quiver de Auslander-Reiten da categoria derivada de álgebras hereditárias por partes,Tese/Dis," let a and h be finite dimensional k algebras  with h hereditary  we say that a is piecewise hereditary of type h  if there is a triangulated equivalence between the bounded derived categories of mod a  and mod h   the objective of this work is to present an intrinsic method for the construction of the auslander reiten quiver of the derived category of some classes of piecewise hereditary algebras  we will present a method for the piecewise hereditary algebras of type dynkin  in which a section will be constructed in the auslander reiten quiver of the derived category  using only objects of the category of modules  through another approach  we will present results in relation to the tame algebras  with radical squared zero  we will show a method for creating sections in the transjective component of the auslander reiten quiver of the derived category  

","['finite', 'dimensional', 'algebra', 'hereditary', 'piecewise', 'hereditary', 'triangulated', 'equivalence', 'bounded', 'derived', 'category', 'objective', 'present', 'intrinsic', 'method', 'construction', 'auslander', 'reiten', 'quiver', 'derived', 'category', 'class', 'piecewise', 'hereditary', 'algebra', 'present', 'method', 'piecewise', 'hereditary', 'algebra', 'dynkin', 'section', 'constructed', 'auslander', 'reiten', 'quiver', 'derived', 'category', 'using', 'object', 'category', 'module', 'another', 'approach', 'present', 'result', 'relation', 'algebra', 'radical', 'squared', 'method', 'creating', 'section', 'transjective', 'component', 'auslander', 'reiten', 'quiver', 'derived', 'category']"
197,1," One of the strategies to solve constrained optimization problems through external penalty methods utilizes non-differentiable penalty functions, which limits the use of efficient smooth algorithms to solve the subproblems. In light of this difficulty, a great number of smoothing techniques have been proposed in the literature. In this work, we study the theory of exterior penalty methods. We show their main properties and discuss the dichotomy between exact and smooth penalty functions. We present on a unified manner results and methods based on functions that smooth and approximate an exact penalty function. Finally, we present numerical results comparing the com putational performance of the studied methods on the resolution of problems from the CUTEst library. 

",2022, Mariana da  - Rosa,Dissertação Digital,A função da penalidade exata e algumas suavizações : aspectos teóricos e computacionais,Tese/Dis," one of the strategies to solve constrained optimization problems through external penalty methods utilizes non differentiable penalty functions  which limits the use of efficient smooth algorithms to solve the subproblems  in light of this difficulty  a great number of smoothing techniques have been proposed in the literature  in this work  we study the theory of exterior penalty methods  we show their main properties and discuss the dichotomy between exact and smooth penalty functions  we present on a unified manner results and methods based on functions that smooth and approximate an exact penalty function  finally  we present numerical results comparing the com putational performance of the studied methods on the resolution of problems from the cutest library  

","['strategy', 'solve', 'constrained', 'optimization', 'problem', 'external', 'penalty', 'method', 'utilizes', 'differentiable', 'penalty', 'function', 'limit', 'efficient', 'smooth', 'algorithm', 'solve', 'subproblems', 'light', 'difficulty', 'great', 'number', 'smoothing', 'technique', 'proposed', 'literature', 'study', 'theory', 'exterior', 'penalty', 'method', 'property', 'discus', 'dichotomy', 'exact', 'smooth', 'penalty', 'function', 'present', 'unified', 'manner', 'result', 'method', 'based', 'function', 'smooth', 'approximate', 'exact', 'penalty', 'function', 'finally', 'present', 'numerical', 'result', 'comparing', 'putational', 'performance', 'studied', 'method', 'resolution', 'problem', 'cutest', 'library']"
198,2," We propose a class of algorithms for solving the continuous nonlinear resource allocation problem, which is well known and researched due to its diverse range of applications. We consider problems where the objective function is convex and we started by analyzing the case of a single equality constraint and simple bounds. This, in turn, is known in the literature as the nonlinear Knapsack problem. The proposed methodology consists of developing algorithms with a hybrid approach combining the augmented Lagrangian method, which penalizes the more complicated constraints of the problem, with Newton’s method, to solve the subproblems generated at each step of the algorithm. In a second moment, we extend the algorithms to a broader class of problems including more than one constraint, which can be nonlinear. In this case, we use an approach similar to the Gauss-Newton method for the least squares problem, to enable the use of only first-order information concerning the constraints of the problem. Most works developed in the literature deal with separable quadratic problems. The approach that we propose is more general in the sense that problems can be non-quadratic and non-separable. We present and discuss convergence properties of the proposed algorithms and we finish the thesis with numerical experiments, applying the algorithms developed through implementations carried out with the software Matlab. 

",2022, Juliana Gomes da  - Silva,Tese Digital,Algoritmos de lagrangiano aumentado aplicados ao problema não linear contínuo de alocação de recursos,Tese/Dis," we propose a class of algorithms for solving the continuous nonlinear resource allocation problem  which is well known and researched due to its diverse range of applications  we consider problems where the objective function is convex and we started by analyzing the case of a single equality constraint and simple bounds  this  in turn  is known in the literature as the nonlinear knapsack problem  the proposed methodology consists of developing algorithms with a hybrid approach combining the augmented lagrangian method  which penalizes the more complicated constraints of the problem  with newton s method  to solve the subproblems generated at each step of the algorithm  in a second moment  we extend the algorithms to a broader class of problems including more than one constraint  which can be nonlinear  in this case  we use an approach similar to the gauss newton method for the least squares problem  to enable the use of only first order information concerning the constraints of the problem  most works developed in the literature deal with separable quadratic problems  the approach that we propose is more general in the sense that problems can be non quadratic and non separable  we present and discuss convergence properties of the proposed algorithms and we finish the thesis with numerical experiments  applying the algorithms developed through implementations carried out with the software matlab  

","['propose', 'class', 'algorithm', 'solving', 'continuous', 'nonlinear', 'resource', 'allocation', 'problem', 'known', 'researched', 'diverse', 'range', 'application', 'consider', 'problem', 'objective', 'function', 'convex', 'started', 'analyzing', 'single', 'equality', 'constraint', 'simple', 'bound', 'known', 'literature', 'nonlinear', 'knapsack', 'problem', 'proposed', 'methodology', 'consists', 'developing', 'algorithm', 'hybrid', 'approach', 'combining', 'augmented', 'lagrangian', 'method', 'penalizes', 'complicated', 'constraint', 'problem', 'newton', 'method', 'solve', 'subproblems', 'generated', 'algorithm', 'second', 'moment', 'extend', 'algorithm', 'broader', 'class', 'problem', 'including', 'constraint', 'nonlinear', 'approach', 'similar', 'gauss', 'newton', 'method', 'least', 'square', 'problem', 'enable', 'first', 'order', 'information', 'concerning', 'constraint', 'problem', 'developed', 'literature', 'separable', 'quadratic', 'problem', 'approach', 'propose', 'general', 'sense', 'problem', 'quadratic', 'separable', 'present', 'discus', 'convergence', 'property', 'proposed', 'algorithm', 'finish', 'thesis', 'numerical', 'experiment', 'applying', 'algorithm', 'developed', 'implementation', 'carried', 'software', 'matlab']"
199,3," In this work we present an stochastic filter algorithm for solving nonlinear and nonconvex constrained global optimization problems. The generality of this algorithm lies in the fact that the analysis of its convergence is almost always guaranteed once the probability distribution used in the calculation of the iterates satisfies some hypotheses. The control of infeasibility is done through the strategy of the filter methods. Based on this general algorithm, we developed the FDDS algorithm, which combines the filter method with the dynamically dimensioned search algorithm. In the FDDS the iterates are calculated by adding random perturbations with normal distribution in the dynamically chosen coordinates of the best current point. However, with the strategy of generating multiple trial points in each iteration, the cost with objective function evaluations can be quite high. In order to reduce the number of function evaluations, we propose the FDDSRBF algorithm, which has the same general algorithm structure and whose multiple trial points are generated in the same way as in the FDDS. The FDDSRBF uses a cubic model of radial basis functions, to approximate the objective function, in the selection of the best trial point. The proposed algorithms do not compute or approximate any derivatives of the objective and constraint functions. Theoretical results concerning the sufficient conditions for the almost surely convergence of the proposed algorithms were presented. Promising computational results, in comparison to performance of the proposed algorithms with other algorithms in the literature when solving 42 problems of three different sets, were obtained. The FDDSRBF Algorithm provided competitive results when compared to the other methods. ",2017, Maria Joseane Felipe Guedes Macêdo,Tese,Algoritmo de procura com escolha dinâmica das coordenadas para programação não linear com restrições,Tese/Dis, in this work we present an stochastic filter algorithm for solving nonlinear and nonconvex constrained global optimization problems  the generality of this algorithm lies in the fact that the analysis of its convergence is almost always guaranteed once the probability distribution used in the calculation of the iterates satisfies some hypotheses  the control of infeasibility is done through the strategy of the filter methods  based on this general algorithm  we developed the fdds algorithm  which combines the filter method with the dynamically dimensioned search algorithm  in the fdds the iterates are calculated by adding random perturbations with normal distribution in the dynamically chosen coordinates of the best current point  however  with the strategy of generating multiple trial points in each iteration  the cost with objective function evaluations can be quite high  in order to reduce the number of function evaluations  we propose the fddsrbf algorithm  which has the same general algorithm structure and whose multiple trial points are generated in the same way as in the fdds  the fddsrbf uses a cubic model of radial basis functions  to approximate the objective function  in the selection of the best trial point  the proposed algorithms do not compute or approximate any derivatives of the objective and constraint functions  theoretical results concerning the sufficient conditions for the almost surely convergence of the proposed algorithms were presented  promising computational results  in comparison to performance of the proposed algorithms with other algorithms in the literature when solving 42 problems of three different sets  were obtained  the fddsrbf algorithm provided competitive results when compared to the other methods  ,"['present', 'stochastic', 'filter', 'algorithm', 'solving', 'nonlinear', 'nonconvex', 'constrained', 'global', 'optimization', 'problem', 'generality', 'algorithm', 'analysis', 'convergence', 'almost', 'always', 'guaranteed', 'probability', 'distribution', 'calculation', 'iterates', 'satisfies', 'hypothesis', 'control', 'infeasibility', 'strategy', 'filter', 'method', 'based', 'general', 'algorithm', 'developed', 'algorithm', 'combine', 'filter', 'method', 'dynamically', 'dimensioned', 'search', 'algorithm', 'iterates', 'calculated', 'adding', 'random', 'perturbation', 'normal', 'distribution', 'dynamically', 'chosen', 'coordinate', 'current', 'point', 'however', 'strategy', 'generating', 'multiple', 'trial', 'point', 'iteration', 'objective', 'function', 'evaluation', 'quite', 'order', 'reduce', 'number', 'function', 'evaluation', 'propose', 'fddsrbf', 'algorithm', 'general', 'algorithm', 'structure', 'whose', 'multiple', 'trial', 'point', 'generated', 'fddsrbf', 'cubic', 'model', 'radial', 'basis', 'function', 'approximate', 'objective', 'function', 'selection', 'trial', 'point', 'proposed', 'algorithm', 'compute', 'approximate', 'derivative', 'objective', 'constraint', 'function', 'theoretical', 'result', 'concerning', 'sufficient', 'condition', 'almost', 'surely', 'convergence', 'proposed', 'algorithm', 'presented', 'promising', 'computational', 'result', 'comparison', 'performance', 'proposed', 'algorithm', 'algorithm', 'literature', 'solving', 'problem', 'three', 'different', 'obtained', 'fddsrbf', 'algorithm', 'provided', 'competitive', 'result', 'compared', 'method']"
200,4," In this work we investigate a chemo-attraction with consumption model, which we call the original model, in non-smooth bounded domains of Rd (d = 1, 2, 3). The non-linear terms related to the chemotaxis and consumption phenomena introduce many difficulties to the analysis of the original model, mainly for its numerical simulation. In order to overcome these difficulties, we propose and analyze a regularized model, establishing results on existence, uniqueness, regularity’s properties and convergence towards the original model. After establishing convergence of the regularized model towards the original model, we proceed to the numerical approximation of the regularized model. We introduce three fully discrete numerical schemes based on Finite Elements. For each scheme, we study the existence of solution, the convergence towards the regularized model, the conditions for uniqueness of solution and the accurate rates for the error in terms of the discretization parameters. 

",2022, André Luiz Corrêa  - Vianna Filho,Tese Digital,On a chemo-attraction model with consumption,Tese/Dis," in this work we investigate a chemo attraction with consumption model  which we call the original model  in non smooth bounded domains of rd  d   1  2  3   the non linear terms related to the chemotaxis and consumption phenomena introduce many difficulties to the analysis of the original model  mainly for its numerical simulation  in order to overcome these difficulties  we propose and analyze a regularized model  establishing results on existence  uniqueness  regularity s properties and convergence towards the original model  after establishing convergence of the regularized model towards the original model  we proceed to the numerical approximation of the regularized model  we introduce three fully discrete numerical schemes based on finite elements  for each scheme  we study the existence of solution  the convergence towards the regularized model  the conditions for uniqueness of solution and the accurate rates for the error in terms of the discretization parameters  

","['investigate', 'chemo', 'attraction', 'consumption', 'model', 'original', 'model', 'smooth', 'bounded', 'domain', 'linear', 'related', 'chemotaxis', 'consumption', 'phenomenon', 'introduce', 'difficulty', 'analysis', 'original', 'model', 'mainly', 'numerical', 'simulation', 'order', 'overcome', 'difficulty', 'propose', 'analyze', 'regularized', 'model', 'establishing', 'result', 'existence', 'uniqueness', 'regularity', 'property', 'convergence', 'towards', 'original', 'model', 'establishing', 'convergence', 'regularized', 'model', 'towards', 'original', 'model', 'proceed', 'numerical', 'approximation', 'regularized', 'model', 'introduce', 'three', 'fully', 'discrete', 'numerical', 'scheme', 'based', 'finite', 'element', 'scheme', 'study', 'existence', 'solution', 'convergence', 'towards', 'regularized', 'model', 'condition', 'uniqueness', 'solution', 'accurate', 'error', 'discretization', 'parameter']"
201,5," This work is devoted to the study of asymptotical properties of the solutions of some linear dissipative coupled systems. We present three systems dissipated by infinite fractional memories and the main results establish the best polynomial decay rates or exponential decay of the solutions. The approach to show those results is the semigroup theory with spectral analysis. The majority of the results come from Borichev-Tomilov's Theorem. 

",2022, Guilherme Felipe  - Tyszka,Tese Digital,Effects of fractional memory on coupled waves and plates,Tese/Dis," this work is devoted to the study of asymptotical properties of the solutions of some linear dissipative coupled systems  we present three systems dissipated by infinite fractional memories and the main results establish the best polynomial decay rates or exponential decay of the solutions  the approach to show those results is the semigroup theory with spectral analysis  the majority of the results come from borichev tomilov  theorem  

","['devoted', 'study', 'asymptotical', 'property', 'solution', 'linear', 'dissipative', 'coupled', 'system', 'present', 'three', 'system', 'dissipated', 'infinite', 'fractional', 'memory', 'result', 'establish', 'polynomial', 'decay', 'exponential', 'decay', 'solution', 'approach', 'result', 'semigroup', 'theory', 'spectral', 'analysis', 'majority', 'result', 'borichev', 'tomilov', 'theorem']"
202,6," In this work we propose a class of nonmonotone line-search methods for convexly constrained multiobjective optimization problems. Worst-case complexity bounds are obtained for the number of iterations that these methods need to generate an approximate Pareto critical point. The generality of our approach allows the development of new methods for multiobjective optimization 

",2022, Maria Eduarda Pinheiro,Dissertação Digital,Nonmonotone line-search methods for convexly constrained multi-objective optimization problems,Tese/Dis," in this work we propose a class of nonmonotone line search methods for convexly constrained multiobjective optimization problems  worst case complexity bounds are obtained for the number of iterations that these methods need to generate an approximate pareto critical point  the generality of our approach allows the development of new methods for multiobjective optimization 

","['propose', 'class', 'nonmonotone', 'search', 'method', 'convexly', 'constrained', 'multiobjective', 'optimization', 'problem', 'worst', 'complexity', 'bound', 'obtained', 'number', 'iteration', 'method', 'generate', 'approximate', 'pareto', 'critical', 'point', 'generality', 'approach', 'allows', 'development', 'method', 'multiobjective', 'optimization']"
203,7," In this work we present the study of classes of ultradifferentiable functions of Roumieu and Beurling types defined on compact manifolds and its respectives ultradistributions classes. As an application, we analyze the global hipoellipticity of strongly invariant operators on manifolds. 

",2021, Eliakim Cleyton  - Machado,Dissertação Digital,Ultradiferenciabilidade em variedades compactas e hipoeliticidade global de operadores invariantes,Tese/Dis," in this work we present the study of classes of ultradifferentiable functions of roumieu and beurling types defined on compact manifolds and its respectives ultradistributions classes  as an application  we analyze the global hipoellipticity of strongly invariant operators on manifolds  

","['present', 'study', 'class', 'ultradifferentiable', 'function', 'roumieu', 'beurling', 'defined', 'compact', 'manifold', 'respectives', 'ultradistributions', 'class', 'application', 'analyze', 'global', 'hipoellipticity', 'strongly', 'invariant', 'operator', 'manifold']"
204,8," We study the Cauchy Problem for a class of 3-evolution operators with complex-valued lower order terms depending both on the time and space variables. The problem is treated in the functional settings of the Gevrey and Gevrey with exponential decay at infinity (Gelfand-Shilov) functions. We achieve existence and well-posedness results. We also study the Friedrichs part for pseudodifferential operators with symbols belonging to the SG classes, obtaining a precise asymptotic expansion and regularity for the same. Finally, we prove a result of spectral invariance for operators in the SG classes. 

",2022, Alexandre  - Arias Junior,Tese Digital,The Cauchy Problem for 3-evolution operators with data in Gevrey and Gelfand Shilov type spaces,Tese/Dis," we study the cauchy problem for a class of 3 evolution operators with complex valued lower order terms depending both on the time and space variables  the problem is treated in the functional settings of the gevrey and gevrey with exponential decay at infinity  gelfand shilov  functions  we achieve existence and well posedness results  we also study the friedrichs part for pseudodifferential operators with symbols belonging to the sg classes  obtaining a precise asymptotic expansion and regularity for the same  finally  we prove a result of spectral invariance for operators in the sg classes  

","['study', 'cauchy', 'problem', 'class', 'evolution', 'operator', 'complex', 'valued', 'lower', 'order', 'depending', 'space', 'variable', 'problem', 'treated', 'functional', 'setting', 'gevrey', 'gevrey', 'exponential', 'decay', 'infinity', 'gelfand', 'shilov', 'function', 'achieve', 'existence', 'posedness', 'result', 'study', 'friedrichs', 'pseudodifferential', 'operator', 'symbol', 'belonging', 'class', 'obtaining', 'precise', 'asymptotic', 'expansion', 'regularity', 'finally', 'prove', 'result', 'spectral', 'invariance', 'operator', 'class']"
205,9," In this work we study the Gelfand-Shilov spaces of type Sµv(Rd), for µ > 0 and ? v > 0. We analysis their main properties and several characterizations for functions in Sµv(Rd) by means of the decay at in?nity of their derivatives and the Fourier transforms. As an application, we investigate the global regularity of solutions for the equations Pu = f E Sµv(Rd), µ (less or equal) 1/2, where P is a partial differential operator of order m, with polynomial coefficients, having principal symbol satisfying a global elliptic condition. 

",2020, Jaqueline Aline  - Iensen,Dissertação Digital,Regularidade global de operadores diferenciais em espaços de Gelfand-Shilov,Tese/Dis," in this work we study the gelfand shilov spaces of type sµv rd   for µ   0 and   v   0  we analysis their main properties and several characterizations for functions in sµv rd  by means of the decay at in nity of their derivatives and the fourier transforms  as an application  we investigate the global regularity of solutions for the equations pu   f e sµv rd   µ  less or equal  1 2  where p is a partial differential operator of order m  with polynomial coefficients  having principal symbol satisfying a global elliptic condition  

","['study', 'gelfand', 'shilov', 'space', 'analysis', 'property', 'several', 'characterization', 'function', 'decay', 'derivative', 'fourier', 'transforms', 'application', 'investigate', 'global', 'regularity', 'solution', 'equation', 'equal', 'partial', 'differential', 'operator', 'order', 'polynomial', 'coefficient', 'principal', 'symbol', 'satisfying', 'global', 'elliptic', 'condition']"
206,10," In this work we focus on approximations of travelling wave solutions for a reduced bidirectional nonlinear model of Boussinesq type involving a nonlocal operator. Three approaches to calculate travelling waves are proposed and compared. For this an efficient and stable scheme for the nonlinear system, based on a von Neumann stability analysis for the linearized problem, is used to capture the evolution of approximate travelling wave solutions. Also, an unidirectional equation is deduced from the bidirectional model and we proved that this equation admits a periodic travelling wave solution. Lastly, a scheme for the corrugated bottom version of the nonlinear system is proposed and validated. The results obtained by this scheme are compared with the ones from the flat bottom. 

",2021, Willian Carlos Lesinhovski,Tese Digital,Numerical analysis and travelling wave solutions for an internal wave system,Tese/Dis," in this work we focus on approximations of travelling wave solutions for a reduced bidirectional nonlinear model of boussinesq type involving a nonlocal operator  three approaches to calculate travelling waves are proposed and compared  for this an efficient and stable scheme for the nonlinear system  based on a von neumann stability analysis for the linearized problem  is used to capture the evolution of approximate travelling wave solutions  also  an unidirectional equation is deduced from the bidirectional model and we proved that this equation admits a periodic travelling wave solution  lastly  a scheme for the corrugated bottom version of the nonlinear system is proposed and validated  the results obtained by this scheme are compared with the ones from the flat bottom  

","['focus', 'approximation', 'travelling', 'solution', 'reduced', 'bidirectional', 'nonlinear', 'model', 'boussinesq', 'involving', 'nonlocal', 'operator', 'three', 'approach', 'calculate', 'travelling', 'proposed', 'compared', 'efficient', 'stable', 'scheme', 'nonlinear', 'system', 'based', 'neumann', 'stability', 'analysis', 'linearized', 'problem', 'capture', 'evolution', 'approximate', 'travelling', 'solution', 'unidirectional', 'equation', 'deduced', 'bidirectional', 'model', 'proved', 'equation', 'admits', 'periodic', 'travelling', 'solution', 'lastly', 'scheme', 'corrugated', 'bottom', 'version', 'nonlinear', 'system', 'proposed', 'validated', 'result', 'obtained', 'scheme', 'compared', 'bottom']"
